product,partner,direction_type,role,bucket_start,count,wow_change,z_score
enalapril,sacubitril_valsartan,add_on,add_on,2016-04-18 00:00:00+00:00,1.0,,
enalapril,sacubitril_valsartan,add_on,add_on,2016-08-29 00:00:00+00:00,1.0,0.0,
enalapril,sacubitril_valsartan,add_on,add_on,2023-04-03 00:00:00+00:00,1.0,0.0,
enalapril,sacubitril_valsartan,add_on,add_on,2024-01-01 00:00:00+00:00,2.0,1.0,
enalapril,sacubitril_valsartan,add_on,add_on,2024-07-29 00:00:00+00:00,1.0,-0.5,-0.5773502691896258
enalapril,sacubitril_valsartan,add_on,add_on,2025-09-01 00:00:00+00:00,3.0,2.0,4.041451884327381
enalapril,sacubitril_valsartan,add_on,add_on,2025-12-29 00:00:00+00:00,1.0,-0.6666666666666666,-0.9045340337332909
enalapril,sacubitril_valsartan,add_on,backbone,2025-05-26 00:00:00+00:00,1.0,,
enalapril,sacubitril_valsartan,alternative,disfavored,2016-02-29 00:00:00+00:00,1.0,,
enalapril,sacubitril_valsartan,alternative,disfavored,2016-06-20 00:00:00+00:00,1.0,0.0,
enalapril,sacubitril_valsartan,alternative,disfavored,2016-12-19 00:00:00+00:00,1.0,0.0,
enalapril,sacubitril_valsartan,alternative,disfavored,2022-02-07 00:00:00+00:00,1.0,0.0,
enalapril,sacubitril_valsartan,alternative,disfavored,2022-06-13 00:00:00+00:00,1.0,0.0,
enalapril,sacubitril_valsartan,alternative,disfavored,2022-11-14 00:00:00+00:00,1.0,0.0,
enalapril,sacubitril_valsartan,alternative,disfavored,2022-12-26 00:00:00+00:00,1.0,0.0,
enalapril,sacubitril_valsartan,alternative,disfavored,2023-09-25 00:00:00+00:00,1.0,0.0,
enalapril,sacubitril_valsartan,alternative,disfavored,2023-12-04 00:00:00+00:00,1.0,0.0,
enalapril,sacubitril_valsartan,alternative,disfavored,2024-11-18 00:00:00+00:00,1.0,0.0,
enalapril,sacubitril_valsartan,alternative,disfavored,2025-07-21 00:00:00+00:00,1.0,0.0,
enalapril,sacubitril_valsartan,switch,switch_destination,2025-04-21 00:00:00+00:00,1.0,,
enalapril,sacubitril_valsartan,switch,switch_source,2023-08-21 00:00:00+00:00,1.0,,
enalapril,sacubitril_valsartan,switch,switch_source,2025-04-28 00:00:00+00:00,1.0,0.0,
sacubitril_valsartan,enalapril,add_on,add_on,2016-08-29 00:00:00+00:00,1.0,,
sacubitril_valsartan,enalapril,add_on,add_on,2024-01-01 00:00:00+00:00,2.0,1.0,
sacubitril_valsartan,enalapril,add_on,add_on,2025-05-26 00:00:00+00:00,1.0,-0.5,
sacubitril_valsartan,enalapril,add_on,add_on,2025-09-01 00:00:00+00:00,3.0,2.0,
sacubitril_valsartan,enalapril,add_on,backbone,2016-04-18 00:00:00+00:00,1.0,,
sacubitril_valsartan,enalapril,add_on,backbone,2023-04-03 00:00:00+00:00,1.0,0.0,
sacubitril_valsartan,enalapril,add_on,backbone,2024-07-29 00:00:00+00:00,1.0,0.0,
sacubitril_valsartan,enalapril,add_on,backbone,2025-12-29 00:00:00+00:00,1.0,0.0,
sacubitril_valsartan,enalapril,alternative,favored,2016-02-29 00:00:00+00:00,1.0,,
sacubitril_valsartan,enalapril,alternative,favored,2016-06-20 00:00:00+00:00,1.0,0.0,
sacubitril_valsartan,enalapril,alternative,favored,2016-12-19 00:00:00+00:00,1.0,0.0,
sacubitril_valsartan,enalapril,alternative,favored,2022-02-07 00:00:00+00:00,1.0,0.0,
sacubitril_valsartan,enalapril,alternative,favored,2022-06-13 00:00:00+00:00,1.0,0.0,
sacubitril_valsartan,enalapril,alternative,favored,2022-11-14 00:00:00+00:00,1.0,0.0,
sacubitril_valsartan,enalapril,alternative,favored,2022-12-26 00:00:00+00:00,1.0,0.0,
sacubitril_valsartan,enalapril,alternative,favored,2023-09-25 00:00:00+00:00,1.0,0.0,
sacubitril_valsartan,enalapril,alternative,favored,2023-12-04 00:00:00+00:00,1.0,0.0,
sacubitril_valsartan,enalapril,alternative,favored,2024-11-18 00:00:00+00:00,1.0,0.0,
sacubitril_valsartan,enalapril,alternative,favored,2025-07-21 00:00:00+00:00,1.0,0.0,
sacubitril_valsartan,enalapril,switch,switch_destination,2023-08-21 00:00:00+00:00,1.0,,
sacubitril_valsartan,enalapril,switch,switch_destination,2025-04-28 00:00:00+00:00,1.0,0.0,
sacubitril_valsartan,enalapril,switch,switch_source,2025-04-21 00:00:00+00:00,1.0,,
