doc_id,sentence_id,product_a,product_b,comparative_terms,relationship_types,risk_terms,study_context,matched_terms,context_rule_hits,direction_type,product_a_role,product_b_role,direction_triggers,narrative_type,narrative_subtype,narrative_confidence,section,sentiment_label,sentiment_score,sentiment_model,sentiment_inference_ts,created_at,claim_strength,risk_posture,narrative_invariant_ok,narrative_invariant_reason
med:pmid:41501364,med:pmid:41501364:sec:abstract:sent:1,enalapril,sacubitril_valsartan,compared to,,,randomized,"{""comparative_terms"": [""compared to""], ""study_context"": [""randomized""]}","[""comparative_terms"", ""study_context""]",,,,,,,,abstract,NEU,0.0,lexicon_v1,2026-01-08T12:24:15.760319+00:00,2026-01-08 12:24:15,,,,
med:pmid:41501364,med:pmid:41501364:sec:abstract:sent:4,enalapril,sacubitril_valsartan,,,,,,,,,,,,,,abstract,NEU,0.0,lexicon_v1,2026-01-08T12:24:15.760319+00:00,2026-01-08 12:24:15,,,,
med:pmid:41501364,med:pmid:41501364:sec:abstract:sent:5,enalapril,sacubitril_valsartan,,,,,,,,,,,,,,abstract,NEU,0.0,lexicon_v1,2026-01-08T12:24:15.760319+00:00,2026-01-08 12:24:15,,,,
med:pmid:41501364,med:pmid:41501364:sec:abstract:sent:9,enalapril,sacubitril_valsartan,,,,,,,,,,,,,,abstract,NEU,0.0,lexicon_v1,2026-01-08T12:24:15.760319+00:00,2026-01-08 12:24:15,,,,
med:pmid:41335448,med:pmid:41335448:sec:conclusion:sent:13,enalapril,sacubitril_valsartan,no significant difference,,,,"{""comparative_terms"": [""no significant difference""], ""claim_strength_terms"": {""suggestive"": [""greater reduction""]}}","[""comparative_terms"", ""claim_strength:suggestive""]",,,,,comparative,comparative_efficacy,0.6,conclusion,POS,2.0,lexicon_v1,2026-01-08T12:24:15.760319+00:00,2026-01-08 12:24:15,suggestive,,1,
med:pmid:41335448,med:pmid:41335448:sec:methods:sent:5,enalapril,sacubitril_valsartan,,add-on therapy,,randomized,"{""add-on therapy"": [""in addition to standard therapy""], ""study_context"": [""randomized""]}","[""relationship:add-on therapy"", ""study_context""]",add_on,add_on,backbone,"[""add_on_to""]",,,,methods,NEU,0.0,lexicon_v1,2026-01-08T12:24:15.760319+00:00,2026-01-08 12:24:15,,,,
med:pmid:41335448,med:pmid:41335448:sec:results:sent:10,enalapril,sacubitril_valsartan,,,,,,,,,,,,,,results,NEU,0.0,lexicon_v1,2026-01-08T12:24:15.760319+00:00,2026-01-08 12:24:15,,,,
med:pmid:41335448,med:pmid:41335448:sec:results:sent:11,enalapril,sacubitril_valsartan,,,,,,,,,,,,,,results,NEU,0.0,lexicon_v1,2026-01-08T12:24:15.760319+00:00,2026-01-08 12:24:15,,,,
med:pmid:41335448,med:pmid:41335448:sec:results:sent:12,enalapril,sacubitril_valsartan,compared with,,,,"{""comparative_terms"": [""compared with""]}","[""comparative_terms""]",,,,,comparative,comparative_efficacy,0.8,results,NEU,0.0,lexicon_v1,2026-01-08T12:24:15.760319+00:00,2026-01-08 12:24:15,,,0,missing_efficacy_endpoint
med:pmid:41335448,med:pmid:41335448:sec:results:sent:8,enalapril,sacubitril_valsartan,,,,randomized,"{""study_context"": [""randomized""]}","[""study_context""]",,,,,evidence,clinical_trial,0.7,results,NEU,0.0,lexicon_v1,2026-01-08T12:24:15.760319+00:00,2026-01-08 12:24:15,confirmatory,,1,
med:pmid:41335448,med:pmid:41335448:sec:results:sent:9,enalapril,sacubitril_valsartan,,,,,,,,,,,,,,results,NEU,0.0,lexicon_v1,2026-01-08T12:24:15.760319+00:00,2026-01-08 12:24:15,,,,
med:pmid:41335448,med:pmid:41335448:sec:title:sent:0,enalapril,sacubitril_valsartan,vs,,,"clinical trial, randomized, trial","{""comparative_terms"": [""vs""], ""study_context"": [""clinical trial"", ""randomized"", ""trial""]}","[""comparative_terms"", ""study_context""]",,,,,evidence,clinical_trial,0.7,results,NEG,-1.0,lexicon_v1,2026-01-08T12:24:15.760319+00:00,2026-01-08 12:24:15,confirmatory,,1,
med:pmid:41408894,med:pmid:41408894:sec:results:sent:10,enalapril,sacubitril_valsartan,,,,,,,,,,,,,,results,NEU,0.0,lexicon_v1,2026-01-08T12:24:15.760319+00:00,2026-01-08 12:24:15,,,,
med:pmid:41249923,med:pmid:41249923:sec:results:sent:10,enalapril,sacubitril_valsartan,,combination,,,"{""combination"": [""acei/arb/arni""]}","[""relationship:combination""]",,,,,positioning,combination,0.6499999999999999,results,NEU,0.0,lexicon_v1,2026-01-08T12:24:15.760319+00:00,2026-01-08 12:24:15,,,1,
med:pmid:41249923,med:pmid:41249923:sec:results:sent:12,enalapril,sacubitril_valsartan,,combination,,,"{""combination"": [""acei/arb/arni""]}","[""relationship:combination""]",,,,,positioning,combination,0.6499999999999999,results,POS,1.0,lexicon_v1,2026-01-08T12:24:15.760319+00:00,2026-01-08 12:24:15,,,1,
med:pmid:41249923,med:pmid:41249923:sec:results:sent:14,enalapril,sacubitril_valsartan,,combination,,,"{""combination"": [""acei/arb/arni""]}","[""relationship:combination""]",,,,,positioning,combination,0.6499999999999999,results,POS,1.0,lexicon_v1,2026-01-08T12:24:15.760319+00:00,2026-01-08 12:24:15,,,1,
med:pmid:41303015,med:pmid:41303015:sec:introduction:sent:11,enalapril,sacubitril_valsartan,,combination,,,"{""combination"": [""arni/acei/arb""]}","[""relationship:combination""]",,,,,,,,introduction,NEU,0.0,lexicon_v1,2026-01-08T12:24:15.760319+00:00,2026-01-08 12:24:15,,,,
med:pmid:41303015,med:pmid:41303015:sec:introduction:sent:9,enalapril,sacubitril_valsartan,,,,,,,,,,,,,,introduction,POS,4.0,lexicon_v1,2026-01-08T12:24:15.760319+00:00,2026-01-08 12:24:15,,,,
med:pmid:41377094,med:pmid:41377094:sec:introduction:sent:7,enalapril,sacubitril_valsartan,,combination,,,"{""combination"": [""acei/arb/arni""]}","[""relationship:combination""]",,,,,,,,introduction,NEU,0.0,lexicon_v1,2026-01-08T12:24:15.760319+00:00,2026-01-08 12:24:15,,,,
med:pmid:40839760,med:pmid:40839760:sec:results:sent:5,enalapril,sacubitril_valsartan,vs,,,,"{""comparative_terms"": [""vs""]}","[""comparative_terms""]",,,,,comparative,comparative_efficacy,0.8,results,NEU,0.0,lexicon_v1,2026-01-08T12:24:15.744624+00:00,2026-01-08 12:24:15,,,0,missing_efficacy_endpoint
med:pmid:41287294,med:pmid:41287294:sec:abstract:sent:14,enalapril,sacubitril_valsartan,,combination,,,"{""combination"": [""acei/arb/arni""]}","[""relationship:combination""]",,,,,,,,abstract,NEU,0.0,lexicon_v1,2026-01-08T12:24:15.760319+00:00,2026-01-08 12:24:15,,,,
med:pmid:41287294,med:pmid:41287294:sec:abstract:sent:9,enalapril,sacubitril_valsartan,,combination,,,"{""combination"": [""acei/arb/arni""]}","[""relationship:combination""]",,,,,,,,abstract,NEU,0.0,lexicon_v1,2026-01-08T12:24:15.760319+00:00,2026-01-08 12:24:15,,,,
med:pmid:41151613,med:pmid:41151613:sec:abstract:sent:2,enalapril,sacubitril_valsartan,,,,,,,,,,,,,,abstract,NEU,0.0,lexicon_v1,2026-01-08T12:24:15.760319+00:00,2026-01-08 12:24:15,,,,
med:pmid:41084891,med:pmid:41084891:sec:conclusion:sent:6,enalapril,sacubitril_valsartan,,combination,,registry,"{""combination"": [""arni/acei/arb"", ""gdmt""], ""study_context"": [""registry""], ""real_world_terms"": [""registry""]}","[""relationship:combination"", ""study_context"", ""real_world_terms""]",,,,,positioning,combination,0.85,conclusion,NEU,0.0,lexicon_v1,2026-01-08T12:24:15.760319+00:00,2026-01-08 12:24:15,,,1,
med:pmid:41079061,med:pmid:41079061:sec:results:sent:6,enalapril,sacubitril_valsartan,,combination,,,"{""combination"": [""gdmt""], ""access_terms"": [""affordability""]}","[""relationship:combination"", ""access_terms""]",,,,,positioning,combination,0.85,results,NEU,0.0,lexicon_v1,2026-01-08T12:24:15.744624+00:00,2026-01-08 12:24:15,,,1,
med:pmid:41016569,med:pmid:41016569:sec:conclusion:sent:4,enalapril,sacubitril_valsartan,compared with,,risk,,"{""comparative_terms"": [""compared with""], ""risk_terms"": [""risk""]}","[""comparative_terms"", ""risk_terms""]",,,,,safety,safety_acknowledgment,0.7,conclusion,NEU,0.0,lexicon_v1,2026-01-08T12:24:15.744624+00:00,2026-01-08 12:24:15,,acknowledgment,0,safety_non_claim_context
med:pmid:41016569,med:pmid:41016569:sec:introduction:sent:1,enalapril,sacubitril_valsartan,versus,,,,"{""comparative_terms"": [""versus""]}","[""comparative_terms""]",,,,,,,,methods,NEG,-1.0,lexicon_v1,2026-01-08T12:24:15.744624+00:00,2026-01-08 12:24:15,,,,
med:pmid:41016569,med:pmid:41016569:sec:results:sent:2,enalapril,sacubitril_valsartan,versus,,,,"{""comparative_terms"": [""versus""]}","[""comparative_terms""]",,,,,comparative,comparative_efficacy,0.8,results,NEG,-1.0,lexicon_v1,2026-01-08T12:24:15.744624+00:00,2026-01-08 12:24:15,,,0,missing_efficacy_endpoint
