doc_id,product_a,product_b,count
med:pmid:28024961,enalapril,sacubitril_valsartan,1
med:pmid:28292483,enalapril,sacubitril_valsartan,1
med:pmid:27974807,enalapril,sacubitril_valsartan,1
med:pmid:27766748,enalapril,sacubitril_valsartan,1
med:pmid:27868321,enalapril,sacubitril_valsartan,1
med:pmid:27908347,enalapril,sacubitril_valsartan,1
med:pmid:27804100,enalapril,sacubitril_valsartan,1
med:pmid:28133468,enalapril,sacubitril_valsartan,1
med:pmid:27803793,enalapril,sacubitril_valsartan,1
med:pmid:27747488,enalapril,sacubitril_valsartan,1
med:pmid:27573608,enalapril,sacubitril_valsartan,1
med:pmid:27334058,enalapril,sacubitril_valsartan,1
med:pmid:27824422,enalapril,sacubitril_valsartan,1
med:pmid:27510447,enalapril,sacubitril_valsartan,1
med:pmid:27395349,enalapril,sacubitril_valsartan,1
med:pmid:27283779,enalapril,sacubitril_valsartan,1
med:pmid:27618854,enalapril,sacubitril_valsartan,1
med:pmid:27438344,enalapril,sacubitril_valsartan,1
med:pmid:27207980,enalapril,sacubitril_valsartan,1
med:pmid:27170530,enalapril,sacubitril_valsartan,1
med:pmid:27092662,enalapril,sacubitril_valsartan,1
med:pmid:27324636,enalapril,sacubitril_valsartan,1
med:pmid:26990595,enalapril,sacubitril_valsartan,1
med:pmid:27417000,enalapril,sacubitril_valsartan,1
med:pmid:27296397,enalapril,sacubitril_valsartan,1
med:pmid:27143684,enalapril,sacubitril_valsartan,1
med:pmid:27038730,enalapril,sacubitril_valsartan,1
med:pmid:28785452,enalapril,sacubitril_valsartan,1
med:pmid:27039128,enalapril,sacubitril_valsartan,1
med:pmid:26992459,enalapril,sacubitril_valsartan,1
med:pmid:26873036,enalapril,sacubitril_valsartan,1
med:pmid:26976916,enalapril,sacubitril_valsartan,1
med:pmid:26915374,enalapril,sacubitril_valsartan,1
med:pmid:26873495,enalapril,sacubitril_valsartan,1
med:pmid:28905031,enalapril,sacubitril_valsartan,1
med:pmid:26975167,enalapril,sacubitril_valsartan,1
med:pmid:26754626,enalapril,sacubitril_valsartan,1
med:pmid:26637405,enalapril,sacubitril_valsartan,1
